    EDF      Z      N                 N-N                 P-P                 N-P
    SKP     40     54        3.4235026883      0.983122248794      -2.36867194486    
    SKP     40     56       2.54820892765      0.950956329232      -2.38059954209    
    SKP     40     58        3.0980949814      0.936078477075      -2.41677094026    
    SKP     40     60       5.24137171939       0.91911722467      -2.32486771503    
    SKP     40     62       6.93875851733      0.977471720521      -2.86996339362    
    SKP     40     64       7.44575303554       0.99673742921      -2.58375233184    
    SKP     40     66       7.29217749889       0.96200859699      -2.26878654519    
    SKP     40     68        6.5459163301      0.887131186298      -2.04734170594    
    SKP     40     70       6.34855133994      0.885950878896      -2.50727737257    
    SKP     40     72       6.46790785818      0.885812952623      -2.56149017252    
    SKP     40     74       7.13167569418      0.890470958959      -2.62221831803    
    SKP     40     76       9.00982070457       0.91289477564      -2.68474214059    
    SKP     40     78       5.87917127202      0.895824561718      -2.61635588719    
    SKP     40     80       3.26501293761      0.928553819211      -2.84661445027    
    SKP     40     82       2.60950119385      0.924684237671      -2.85433541438    
    SKP     40     84       4.09581336198      0.905080169739      -3.33896226722    
    SKP     40     86       9.40640858617      0.873306576675      -3.60847992783    
    SKP     40     88       12.2703150403      0.858359520452      -3.92309940545    
    SKP     40     90       10.8025483211                 N/A                 N/A    
    SKP     42     40       1.47872338852                 N/A       -1.8257045508    
    SKP     42     42        2.2342362068       1.52355820926      -1.90515926655    
    SKP     42     44       3.79452999529       1.51731253604      -1.98014116426    
    SKP     42     46       4.22369981321       1.55489619319      -2.03424654051    
    SKP     42     48       1.94240761424       1.52286273829      -1.97083557516    
    SKP     42     50       1.18803012132       1.53958899132      -2.08353734637    
    SKP     42     52       2.15900418091       1.50217533766       -2.3579858792    
    SKP     42     54       3.26444803896       1.50032050597      -2.50069550594    
    SKP     42     56       2.62448248486       1.51128628598      -2.59297937868    
    SKP     42     58       3.23182442144       1.52444601632      -2.51849995624    
    SKP     42     60       5.32429622787       1.74929536196      -2.43654030769    
    SKP     42     62       6.63573309091       1.85708435899      -2.41902612427    
    SKP     42     64       7.32239977008        1.7982013491      -2.45816057074    
    SKP     42     66       7.09330533842       1.64221679561      -2.47190830703    
    SKP     42     68       6.40488821068       1.56340934239      -2.49562641471    
    SKP     42     70       6.07417171076       1.56893631609      -2.51675371489    
    SKP     42     72       6.34639580249       1.57363902845      -2.56264382838    
    SKP     42     74       7.84798453947       1.62238501955      -2.58223281798    
    SKP     42     76       6.67946898222       1.53900729413      -2.49962505624    
    SKP     42     78       7.10285286085       1.58697852382      -2.76749576227    
    SKP     42     80       2.84834553849       1.59286396942      -2.55989514669    
    SKP     42     82       2.20759080097       1.61211277051      -2.89153142733    
    SKP     42     84       3.52988310792       1.59758955688       -3.6222697142    
    SKP     42     86       9.23565702464       1.63105795312      -4.22072269324    
    SKP     42     88       10.0589707158       1.67681067256       -4.2560299965    
    SKP     42     90       8.02305826947       1.67684792834      -4.60735010562    
    SKP     42     92        6.2387312916       1.73686194205      -5.40615057751    
    SKP     44     44       3.87090905396       2.12774785337      -1.99079159348    
    SKP     44     46       3.99359028759       2.00868757376      -1.97039384725    
    SKP     44     48        1.9171457534       1.97574086578      -2.02482127156    
    SKP     44     50       1.08589069641       1.96297341398      -2.05302132884    
    SKP     44     52       2.11853522356       1.93673743989      -2.45150013422    
    SKP     44     54       3.17557853087       1.93294142946      -2.50585273229    
    SKP     44     56       2.71188830817       2.26279796099      -2.56086536762    
    SKP     44     58       4.59852042605       2.78740400006      -2.48278344852    
    SKP     44     60       4.23757991811       2.32257015613      -2.02128310041    
    SKP     44     62       4.80553212859       2.17545241252      -2.23929184635    
    SKP     44     64       5.74650720109       2.28967476887      -2.56953482426    
    SKP     44     66       8.15024155278       2.54013250601      -2.84313836986    
    SKP     44     68       7.90223356632        2.3240194381      -2.70265704971    
    SKP     44     70        5.8107356246       1.97011435036      -2.50256199785    
    SKP     44     72       6.97634669653       1.95687344459      -2.55019582316    
    SKP     44     74       5.98410919802       1.81965822269      -2.46090241291    
    SKP     44     76       7.38548346298       1.87272843893      -2.72727024794    
    SKP     44     78       7.76409571577       1.93314881428      -2.62481831336    
    SKP     44     80        2.5593988484       1.82876371001      -2.54472837251    
    SKP     44     82       1.86607201172       1.86050751854      -2.83018734425    
    SKP     44     84       3.28994715522       1.87124698028      -3.69780091779    
    SKP     44     86       9.40231814153        1.9056929719      -4.00367938135    
    SKP     44     88       7.46015345536       1.89398333579      -3.97314945598    
    SKP     44     90       7.34656694926       1.96390827566       -4.6070688561    
    SKP     44     92       5.24653466385       1.94912111692      -4.86427457857    
    SKP     44     94       5.82651267194       2.05056908418      -5.70556435163    
    SKP     44     96       7.68145025781                 N/A                 N/A    
    SKP     46     46       4.09018029515       2.13539242107      -2.08482854631    
    SKP     46     48       1.91064760923       2.07079853098      -2.05943954412    
    SKP     46     50      0.996328033034       2.07471139468      -2.06699118428    
