     Interaction      Z      N          UNEDF0_MOI          UNEDF1_MOI            SKMS_MOI             SKP_MOI            SLY4_MOI          SV-MIN_MOI
             N-P     32     66      -2.53131874112      -2.56087684423      -2.58363384224      -2.29368056599      -2.08430926772       -2.5052484956    
             N-P     32     68      -2.57876848332      -3.27678154517      -2.60143143765      -2.71978589845      -3.48289160109      -3.52803064447    
             N-P     32     70      -2.60542867118      -3.09887743165      -2.71124128082      -2.82019627156                 N/A      -2.45052842582    
             N-P     32     72                 N/A      -3.01233853865      -2.74611356278                 N/A                 N/A       -3.1250268557    
             N-P     32     74                 N/A      -3.20974736079      -2.82052439189                 N/A                 N/A      -2.92319666171    
             N-P     32     76                 N/A                 N/A      -2.96659099387                 N/A                 N/A                 N/A    
             N-P     32     78                 N/A                 N/A      -3.03952291648                 N/A                 N/A                 N/A    
             N-P     34     32      -1.70499931374       -1.3113984458                 N/A      -1.70452342164      -1.31751264153                 N/A    
             N-P     34     34      -1.49739546776      -1.30932082583      -1.14093678326      -1.37684484301      -1.36594900844      -1.43243850094    
             N-P     34     36      -1.49049844504      -1.60274261316      -1.30942112129      -1.46074645605      -1.73087641196      -1.67959323611    
             N-P     34     38       -1.7547553871      -1.60544889354      -1.44610859408      -1.89467591332      -1.73707087293      -1.65789502043    
             N-P     34     40      -1.63244250946      -1.70663972451      -1.94713812073      -1.59954508938      -2.16355970478      -2.04863773273    
             N-P     34     42      -1.67226177586      -1.69771072198       -2.7077871219      -1.70443916921      -1.72405024227      -1.68824026698    
             N-P     34     44      -1.64447921604      -1.91100725848      -2.29160436367      -1.84123830641      -1.87089076383      -1.72542009666    
             N-P     34     46      -1.61514032541      -1.72450959258      -1.81095282377      -1.88277911377      -1.74553350704      -1.83667041041    
             N-P     34     48      -1.82287572317      -1.66652501204      -1.82576205026      -1.82406442596      -1.65322662307      -1.75985076466    
             N-P     34     50      -1.88896119413      -1.70858319583      -2.01260393212      -1.88758755457      -1.77145094232      -1.81672183445    
             N-P     34     52      -2.22447883242       -2.2970367078      -2.44897559351       -2.0600006077      -2.48102635098      -2.27259169197    
             N-P     34     54      -2.38122593846       -2.3745932767      -2.31362319176      -2.18316658489      -2.09775650187      -2.35648560806    
             N-P     34     56      -3.05309717627      -2.37251442044        -2.478907595      -2.21688568574      -1.96546288616      -2.32212251286    
             N-P     34     58      -3.02050013441      -2.11729944807      -2.83289128426      -2.23425367828      -1.68382696826      -2.03813036188    
             N-P     34     60      -2.83707460726      -2.31320708235      -1.49373285708      -2.11994657735       -1.9076833856      -2.24543629108    
             N-P     34     62      -2.15918831793      -2.46451559638      -2.09056538296      -2.20403040019      -2.35519939707      -2.37542668602    
             N-P     34     64      -2.39272658971      -2.43854708926       -2.5328719285      -2.27059600875      -2.34306172562      -2.34186964334    
             N-P     34     66      -3.03138468347      -2.59890118458      -3.62214507053      -2.38342802494      -2.26752742008      -2.40539433734    
             N-P     34     68      -2.82504230501      -3.28887595264      -3.11654636798      -2.90051592927      -2.32805427626      -2.66676978176    
             N-P     34     70       -2.4265174682      -5.64865639647      -2.59313739155      -3.82766328812      -3.38351652256      -4.56752399092    
             N-P     34     72      -2.52280457662      -2.97463233544      -2.81176894008      -3.00877886453      -3.71896869279      -3.73861125546    
             N-P     34     74      -3.21169055362      -3.04438098601      -3.01681193873      -2.65457243465      -3.63753756894      -2.99923369579    
             N-P     34     76      -3.01051119985      -3.23694781716      -3.04118448053      -2.72434467592      -2.89173001363      -2.74635301484    
             N-P     34     78      -3.20542871407      -3.32520321148      -2.99702694927                 N/A                 N/A      -2.83390885299    
             N-P     34     80                 N/A                 N/A      -2.96269741749                 N/A                 N/A                 N/A    
             N-P     34     82                 N/A                 N/A      -2.60733926894                 N/A                 N/A                 N/A    
             N-P     36     34       -1.4894123263      -1.55973269301                 N/A      -1.48184810168      -1.66006720782                 N/A    
