EDF       Z     N      beta_2     beta_3  
UNEDF2    50   114   0.227124   0.000000  
UNEDF2    50   116   -0.082215   -0.000000  
UNEDF2    50   118   -0.068441   -0.000000  
UNEDF2    50   120   -0.000000   -0.000000  
UNEDF2    50   122   -0.000000   0.000000  
UNEDF2    50   124   0.000119   0.000000  
UNEDF2    52    56   0.170650   0.096124  
UNEDF2    52    58   0.161237   0.102953  
UNEDF2    52    60   0.258655   -0.000000  
UNEDF2    52    62   0.303587   -0.000000  
UNEDF2    52    64   0.314745   -0.000001  
UNEDF2    52    66   0.298789   0.000001  
UNEDF2    52    68   0.257010   0.000000  
UNEDF2    52    70   0.231516   -0.000000  
UNEDF2    52    72   0.167146   -0.000000  
UNEDF2    52    74   0.136297   -0.000000  
UNEDF2    52    76   0.107872   -0.000000  
UNEDF2    52    78   0.081892   -0.000000  
UNEDF2    52    80   -0.000000   -0.000000  
UNEDF2    52    82   -0.000309   0.000000  
UNEDF2    52    84   0.055283   0.000000  
UNEDF2    52    86   0.081160   0.025989  
UNEDF2    52    88   0.076164   0.035219  
UNEDF2    52    90   -0.039206   -0.000000  
UNEDF2    52    92   -0.108204   0.000000  
UNEDF2    52    94   0.218514   0.000000  
UNEDF2    52    96   0.228169   0.000000  
UNEDF2    52    98   0.253455   0.000000  
UNEDF2    52   100   0.276136   0.000000  
UNEDF2    52   102   0.280985   0.000000  
UNEDF2    52   104   0.278253   -0.000000  
UNEDF2    52   106   0.249591   -0.000000  
UNEDF2    52   108   0.225647   -0.000000  
UNEDF2    52   110   0.228939   0.000000  
UNEDF2    52   112   0.237478   0.000000  
UNEDF2    52   114   0.237860   0.000000  
UNEDF2    52   116   -0.131509   0.000000  
UNEDF2    52   118   -0.115190   0.000000  
UNEDF2    52   120   -0.093369   0.000000  
UNEDF2    52   122   0.051634   0.000000  
UNEDF2    52   124   -0.000000   0.000000  
UNEDF2    52   126   0.000324   0.000000  
UNEDF2    54    56   0.215074   0.150281  
UNEDF2    54    58   0.220043   0.129962  
UNEDF2    54    60   0.271304   0.000000  
UNEDF2    54    62   0.287145   0.000000  
UNEDF2    54    64   0.306068   -0.000000  
UNEDF2    54    66   0.272894   -0.000000  
UNEDF2    54    68   0.270045   0.000000  
UNEDF2    54    70   0.247393   -0.000000  
UNEDF2    54    72   0.224365   0.000000  
UNEDF2    54    74   0.184780   0.000000  
UNEDF2    54    76   0.148766   -0.000000  
UNEDF2    54    78   0.120919   0.000000  
UNEDF2    54    80   0.077327   0.000000  
UNEDF2    54    82   0.000000   -0.000000  
UNEDF2    54    84   0.096290   0.000000  
UNEDF2    54    86   0.128085   0.087800  
UNEDF2    54    88   0.162039   0.117825  
UNEDF2    54    90   0.185051   0.126207  
UNEDF2    54    92   0.217917   0.000008  
UNEDF2    54    94   0.233010   0.000000  
UNEDF2    54    96   0.241698   0.000000  
UNEDF2    54    98   0.253932   0.000000  
UNEDF2    54   100   0.270425   0.000000  
UNEDF2    54   102   0.277197   0.000000  
UNEDF2    54   104   0.273659   -0.000000  
UNEDF2    54   106   0.239142   -0.000000  
UNEDF2    54   108   0.227186   0.000000  
UNEDF2    54   110   0.217562   0.000000  
UNEDF2    54   112   0.208729   0.000000  
UNEDF2    54   114   0.190111   0.000000  
UNEDF2    54   116   0.162515   0.000000  
UNEDF2    54   118   0.138567   0.000535  
UNEDF2    54   120   0.108877   0.000487  
UNEDF2    54   122   0.078405   0.000000  
UNEDF2    54   124   -0.000000   0.000000  
UNEDF2    54   126   -0.000000   -0.000000  
UNEDF2    56    58   0.263247   0.161884  
UNEDF2    56    60   0.346002   0.000000  
UNEDF2    56    62   0.380520   0.000002  
UNEDF2    56    64   0.375753   -0.000000  
UNEDF2    56    66   0.300842   0.000000  
UNEDF2    56    68   0.285735   0.000000  
UNEDF2    56    70   0.266459   -0.000000  
UNEDF2    56    72   0.241346   0.000000  
UNEDF2    56    74   0.208950   -0.000000  
UNEDF2    56    76   0.168466   -0.000000  
UNEDF2    56    78   0.132905   -0.000000  
UNEDF2    56    80   0.088431   0.000000  
UNEDF2    56    82   0.000000   0.000000  
UNEDF2    56    84   0.094389   0.026810  
UNEDF2    56    86   0.145146   0.110177  
UNEDF2    56    88   0.182031   0.142978  
UNEDF2    56    90   0.207908   0.146266  
UNEDF2    56    92   0.235769   0.133490  
UNEDF2    56    94   0.266072   0.062320  
UNEDF2    56    96   0.273225   0.028599  
UNEDF2    56    98   0.274768   0.000000  
UNEDF2    56   100   0.279187   0.000000  
UNEDF2    56   102   0.279804   0.000000  
UNEDF2    56   104   0.270859   -0.000000  
UNEDF2    56   106   0.252444   -0.000000  
