  Z      N    UNEDF0    UNEDF1    UNEDF2      SkM*      SLy4    SV-MIN     Total
114    266         0         0         0         1         0         0         1
114    268         0         0         0         1         0         0         1
114    270         0         0         0         1         0         0         1
114    272         0         0         0         1         0         0         1
114    274         0         0         0         1         0         0         1
114    276         0         0         0         1         0         0         1
114    278         0         0         0         1         0         0         1
114    280         0         0         0         1         0         0         1
116    188         0         1         1         1         0         0         3
116    190         0         1         1         1         0         1         4
116    192         1         1         1         1         1         1         6
116    194         1         1         1         1         1         1         6
116    196         1         1         1         1         1         1         6
116    198         1         1         1         1         1         1         6
116    200         1         1         1         1         0         1         5
116    202         0         1         1         1         0         0         3
116    204         0         0         1         1         0         0         2
116    206         0         0         1         0         0         0         1
116    208         0         0         1         0         0         0         1
116    262         0         0         0         1         0         0         1
116    264         0         0         0         1         0         0         1
116    266         0         0         0         1         0         0         1
116    268         0         0         0         1         0         0         1
116    270         0         0         0         1         0         0         1
116    272         0         0         0         1         0         0         1
116    274         0         0         0         1         0         0         1
116    276         0         0         0         1         0         0         1
116    278         0         0         0         1         0         0         1
116    280         0         0         0         1         0         0         1
116    282         0         0         0         1         0         0         1
116    284         0         0         0         1         0         0         1
118    188         0         1         1         1         0         0         3
118    190         0         1         1         1         0         1         4
118    192         1         1         1         1         1         1         6
118    194         1         1         1         1         1         1         6
118    196         1         1         1         1         1         1         6
118    198         1         1         1         1         1         1         6
118    200         1         1         1         1         1         1         6
118    202         1         1         1         1         0         1         5
118    204         1         1         1         1         0         1         5
118    206         0         0         1         1         0         0         2
118    208         0         0         1         0         0         0         1
118    226         0         1         0         0         0         0         1
118    260         0         0         0         1         0         0         1
118    262         0         0         0         1         0         0         1
118    264         0         0         0         1         0         0         1
118    266         0         0         0         1         0         0         1
118    268         0         0         0         1         0         0         1
118    270         0         0         1         1         0         0         2
118    272         0         0         1         1         0         0         2
118    274         0         0         1         1         0         0         2
118    276         0         0         1         1         0         0         2
118    278         0         0         1         1         0         0         2
118    280         0         0         0         1         0         0         1
118    282         0         0         0         1         0         0         1
118    284         0         0         0         1         0         0         1
120    188         0         1         1         1         0         0         3
120    190         1         1         1         1         0         1         5
120    192         1         1         1         1         1         1         6
120    194         1         1         1         1         1         1         6
120    196         1         1         1         1         1         1         6
120    198         1         1         1         1         1         1         6
120    200         1         1         1         1         1         1         6
120    202         1         1         1         1         1         1         6
120    204         1         1         1         1         0         1         5
120    206         1         0         1         1         0         1         4
120    208         0         0         1         1         0         0         2
120    210         0         0         1         0         0         0         1
120    260         0         0         0         1         0         0         1
120    262         0         0         0         1         0         1         2
120    264         0         0         1         1         0         1         3
120    266         0         0         0         1         0         1         2
120    268         0         0         1         1         0         1         3
120    270         0         0         1         1         0         1         3
120    272         0         0         1         1         0         1         3
120    274         0         0         1         1         0         1         3
120    276         0         0         1         1         0         1         3
120    278         0         0         1         1         0         1         3
120    280         0         0         1         1         0         1         3
120    282         0         0         1         1         0         1         3
120    284         0         0         1         1         0         0         2
120    286         0         0         0         1         0         0         1
120    288         0         0         0         1         0         0         1
